date,sentiment_compound_mean,sentiment_positive_mean,sentiment_negative_mean,sentiment_neutral_mean,sentiment_compound_std,sentiment_compound_min,sentiment_compound_max,news_count,sentiment_momentum,sentiment_ma5,sentiment_ma10
2020-01-02,0.0,0.0,0.0,0.5,0.0,0.0,0.0,10,0.0,0.0,0.0
2020-01-03,0.0,0.0,0.0,0.5,0.0,0.0,0.0,10,0.0,0.0,0.0
2020-01-06,0.0,0.0,0.0,0.5,0.0,0.0,0.0,10,0.010593243452772572,0.0,0.0
2020-01-07,-0.010549560540357345,0.004465494035222932,0.002232747017611466,0.5,0.0,0.0,0.0,10,-0.006336611543623416,0.0,0.0
2020-01-08,0.00938764267801521,0.003746354304200524,0.001873177152100262,0.5,0.0,0.0,0.0,10,0.0077056900218743785,0.0,0.0
2020-01-09,0.014590792202618202,0.004786984209121122,0.002393492104560561,0.5,0.005767253310583809,-0.007059870562045378,0.006655262605488987,10,0.0017528112365108317,0.0010455955300505471,0.0
2020-01-10,0.014504225474674299,0.004804297554709902,0.002402148777354951,0.5,0.004444840131784405,-0.002855178689662563,0.006655262605488987,10,-0.00951044129515155,0.00188653390452711,0.0
2020-01-13,0.01796049861399381,0.005495552182573804,0.002747776091286902,0.5,0.004996212567058444,-0.002855178689662563,0.006976215252569862,10,0.009831393942232425,0.0025751023768956437,0.0
2020-01-14,0.004344172983508458,0.0037819755716782164,0.0018909877858391082,0.5,0.004672124006186983,-0.002855178689662563,0.006976215252569862,10,-0.008490748025372086,0.0028328435529144437,0.0
2020-01-15,0.012219798940466542,0.003453648303294791,0.0017268241516473954,0.5,0.004530989670064254,-0.002855178689662563,0.006976215252569862,10,0.0033847296573145114,0.00222639265602127,0.0
2020-01-16,0.014537028563630556,0.003917094227927594,0.001958547113963797,0.5,0.004990502152224726,-0.002855178689662563,0.00836655302646827,10,0.006496356141955983,0.0025686507402171268,0.0018071231351338367
2020-01-17,0.02349818693246982,0.004699637386493964,0.002349818693246982,0.5,0.0039639361563718,-0.001514532772802224,0.00836655302646827,10,-0.004504390777966938,0.0039121189278499054,0.002899326416188508
2020-01-21,0.015961229379340042,0.004960230974111727,0.0024801154870558637,0.5,0.004416146998942812,-0.0026519776473655776,0.00836655302646827,10,-0.0065141398958669106,0.001986480347862818,0.0022807913623792307
2020-01-22,0.002498767787089684,0.0022677386556616552,0.0011338693278308276,0.5,0.004122587315641586,-0.0026519776473655776,0.00836655302646827,10,0.0029410537184836327,0.0023472021166468736,0.0025900228347806586
2020-01-23,-0.002036541606281935,0.0013606767769873314,0.0006803383884936657,0.5,0.004156440732007055,-0.0026519776473655776,0.00836655302646827,10,0.0008519005413603065,0.0022013580622400886,0.0022138753591306793
2020-01-24,-0.01268684715101831,0.0034907378859346063,0.0017453689429673032,0.5,0.004921849880362507,-0.009042160974207403,0.003862162248501333,10,-0.010183137586685764,-0.0012803847378950461,0.0006441330011610402
2020-01-27,-0.03938649336818571,0.008637949748622717,0.004318974874311358,0.5,0.007114921679323078,-0.015730711659182384,0.0011409766124783616,10,-0.006688550684974981,-0.00519895951943179,-0.0006434202957909419
2020-01-28,-0.024532146730572947,0.011608819076145268,0.005804409538072634,0.5,0.009954335298500658,-0.015730711659182384,0.010053584595046017,10,0.0257842962542284,-0.0026578470709494708,-0.00033568336154332634
2020-01-29,-0.01090666875834127,0.008883723481698932,0.004441861740849466,0.5,0.00988194247845787,-0.015730711659182384,0.010053584595046017,10,-0.010920458785914411,-0.0028890371233467604,-0.00027091750334994335
2020-01-30,0.020535115327971663,0.004684939192839928,0.002342469596419964,0.5,0.010122459208813345,-0.015730711659182384,0.010053584595046017,10,0.004001232983473768,-0.002490360687321358,-0.0001445013125406347
2020-01-31,-0.02573055962298213,0.007235684453000009,0.0036178422265000045,0.5,0.012077138003435422,-0.01770582037552626,0.010053584595046017,10,-0.020840179168131634,-0.004223092567585129,-0.0027517386527400878
2020-02-03,-0.012194746150948621,0.009364931020161116,0.004682465510080558,0.5,0.010921040011112468,-0.01770582037552626,0.010053584595046017,10,0.024960434267877973,0.00037397254272169,-0.00241249348835505
